anchor,validation,lable
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/42d0a288-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/6dc426e0-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/353f959f-e7fc-11ed-8de9-5cea1d41f966.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Serena_Williams_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3b27f7cc-e7fc-11ed-a1eb-5cea1d41f966.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Julie_Gerberding_0009.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/074a662c-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/5b343c2c-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0af4e0b8-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Roh_Moo-hyun_0023.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fe61fcf0-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/525741d0-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/030b45cc-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/George_W_Bush_0128.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/09491cc0-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Elizabeth_Smart_0003.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/49c19f16-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Robert_Duvall_0006.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fded91b2-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/51e0eab2-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4c64d350-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Rick_Perry_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/06238b7a-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/5a02573a-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/050b02ae-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Steve_Ballmer_0003.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/ff897b08-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/538f5aa6-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/42d5ab02-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Tony_Blair_0074.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0dec1318-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/George_W_Bush_0295.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3ed31f26-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Ariel_Sharon_0014.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/47ca9c94-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/72ff6138-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0204b65e-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Mohammed_Ashraf_Hafiz_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/06d9d1d2-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Charlie_Zaa_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/41748c38-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Dianne_Feinstein_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/49b45ba8-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/74a18b1a-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/020f6e0a-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Sid_Caesar_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0af22c74-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/5e63ad6a-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/407bc666-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/George_W_Bush_0254.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/ff1a6060-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/532f918e-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3a93a782-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/65810188-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/43fbd92a-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Jimmy_Carter_0006.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/39b51f44-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Colin_Powell_0227.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/47d9f568-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/William_Hurt_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4b030892-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/75db1712-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/45432676-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/LK_Advani_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/42b82cbc-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/6dbe0972-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fb4dbcc0-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/4eed85cc-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3cbcffc2-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/68292a82-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3baefad6-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/66d01d94-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4a303764-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/751e9308-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3e629e72-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/69e91198-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4a9506a8-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Jacques_Chirac_0023.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/ffd32ffa-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/53da3dd2-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0f95f4fe-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/63327c22-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/00955544-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Ricardo_Maduro_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3d233846-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/68a01ce6-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4126d75e-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/6c325806-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/45ffb002-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Julianne_Moore_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/08d5f4c0-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Perri_Shaw_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0cc168c6-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Charles_Taylor_0005.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/018c07b8-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/558e5672-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4b0935aa-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Charlton_Heston_0004.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4e87dc5e-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Chang_Saio-yue_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4e1e0eaa-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/78b683fe-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/ff14b516-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/53283e02-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/06259f50-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Vincent_Brooks_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0cb10738-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Hiroki_Gomi_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fe5e26fc-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Brian_Cook_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/07b44ec0-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/5b908acc-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3b851f01-e7fc-11ed-b3d1-5cea1d41f966.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/1141e98f-e7fc-11ed-b46c-5cea1d41f966.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fc94b1e2-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/5068fe18-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4249530a-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/6d507416-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/44dd92f2-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Morris_Watts_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3b49fb7c-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Bode_Miller_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/2ee334c5-e7fc-11ed-9c16-5cea1d41f966.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Ray_Romano_0004.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/4ce6f3b9-e7fc-11ed-8078-5cea1d41f966.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/cac2b5d4-e7fb-11ed-9edc-5cea1d41f966.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/43f4e836-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Hu_Jintao_0007.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3b4e7670-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/66617bbe-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/432cf9ac-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/6e1db0b6-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/01fcb5f8-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/55de7ff8-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0d2443ba-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/60bfbd9c-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fbbd4e50-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Marie-Reine_Le_Gougne_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/46766224-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/71e4987c-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/02829d58-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/5635dafa-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0cc3b87e-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Chris_Tucker_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/45432676-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/7046915a-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/46de1ea0-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Rudolph_Giuliani_0009.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0a69ddc4-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Viara_Vike-Freiberga_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fd1af6bc-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Queen_Latifah_0004.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0371c4dc-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Pierce_Brosnan_0013.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3a95cc42-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/George_W_Bush_0424.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0cba6ba2-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/602e73dc-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/46045706-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Matthew_Perry_0006.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/04b09b0c-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/584e04e8-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/06eb9ce6-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Brooke_Shields_0002.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/433591ca-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Tony_Shalhoub_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/439dd6f4-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/6e9b094e-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/fc9d4938-ea87-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/507a6f22-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/39c2b2d0-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/649711fe-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/3b4c37de-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/665efc18-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0e35c44a-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Colin_Powell_0070.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_sarah/0ea15d54-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_sarah/627b3b48-ea88-11ed-8de8-0242ac1c000c.jpg,1
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/4b72fd78-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Pio_Laghi_0001.jpg,0
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/48c1ac6e-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/pos_yasmeen/73de132e-ea88-11ed-8de8-0242ac1c000c.jpg,2
/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/anc_yasmeen/48c57bfa-ea88-11ed-8de8-0242ac1c000c.jpg,/content/gdrive/MyDrive/NTI/Automated Video Surveillance/face_verification/face_dataset/negative/Jose_Lina_0001.jpg,0
